,mat_id,composition
172,mp-569511,Ni4Te4Pd4
173,mp-24075,Ho2H6O6
174,mp-558168,Ba4Au8F48
175,mvc-89,Ca4Nb4Cu2O16
176,mvc-8885,Mg2V4P4O20
177,mp-849742,Li2Fe8B8O24
178,mp-1222485,Li4Ti4Fe4O16
179,mp-1103425,Er2Co6Si4
180,mp-1246507,Ba8Ir2N8
181,mp-757890,Li12Si12Bi12O48
182,mp-766660,Li11Fe12B12O36
183,mp-1034150,K1Rb1Mg14O15
184,mvc-13997,Al2V2O6
185,mp-555516,H20N12O12
186,mp-1219837,Pr2Zn1As4
187,mp-558708,Nd4Cu2Ge4O16
188,mp-1147562,La1Bi2C2O2
189,mp-1247858,Ag8Te4
190,mp-774450,Ti3Cr1Fe2P6O24
191,mvc-3753,Zn4W4F20
192,mp-1219238,Sm2Cr1Fe16C2
193,mp-1077210,Lu2Ga4
194,mp-1209408,Sm46Mg8Pt14
195,mp-1182555,Cd4C28S12N16
196,mp-774821,Li4Ni4P4O16
197,mp-636654,La4Ti4Nb4Bi8O36
198,mp-1105156,Eu4Si10Pt6
199,mp-672306,Ba12In10N2
200,mp-1186702,Pr2Y2O5
201,mp-1211338,K2Tm2C4O12
202,mp-11990,Pr4Cd2Ni4
203,mp-1227770,Ca4La2Zr4O15
204,mp-642824,S3F18
205,mp-27249,Cu1C1O3
206,mp-759640,Li4Cu4C4O12
207,mp-559824,Au4Se6O20
208,mvc-16768,Mg2Ti4S8
209,mp-1208720,Sr8Ti8F40
210,mp-754840,Ta2As2O8
211,mp-6249,Sr12Nd8B16O48
212,mp-559196,Ca4Cr8P8O32
213,mp-2378,Th6Al4
214,mp-5803,Nb4P4O20
215,mp-1204439,U8As16O96
216,mp-1204011,Ag4H28C4N32O28
217,mp-1213834,Cs6Sc4Br18
218,mp-1181929,Cd2P2N2O10
219,mp-1223472,K1Fe1Cu1S2
220,mp-16480,Al12Au32
221,mp-626643,Ca1H2O2
222,mp-1206948,Ho2Cu1Sb3
223,mp-1209518,Rb8Sm4Br20
224,mp-770633,Rb2Li4Co4B6O18
225,mvc-8188,Ca2Fe4O8
226,mp-558941,Li4Y4Si4O16
227,mp-1238195,Li12Be6H24
228,mp-1189434,Nd2Lu6S12
229,mp-1025179,Rb2Np1O4
230,mp-754903,Y2B6O12
231,mp-1195874,Mg4C4O24
232,mp-1078036,U2Mo2C3
233,mp-1194543,K8Ge2Se8O8
234,mp-1202257,Fe2B4P4H6O24
235,mp-759309,Li3Ti3Mn9O24
236,mp-17901,Mn4Se8O20
237,mp-1245022,In40O60
238,mp-1192457,Sb2Ir2Xe2F24
239,mp-755476,K12Fe4P4C4O28
240,mp-1019728,Rb4Eu4P16O48
241,mp-3612,Nb4Sb4O16
242,mp-1225877,Er2Fe4Co4B2
243,mp-8249,Tl2P2S6
244,mp-1201116,Te8O48
245,mp-1227818,Ba1Sr11Al4O16F4
246,mp-18148,K12Ta4S16
247,mp-753262,Li8Co4Si12O32
248,mp-1194076,Yb12S18
249,mp-1245862,Li6Mn3N6
250,mp-1094004,Zn4Ga4S10
251,mp-20462,U3Co4Ge7
252,mp-774364,Li8Cr8P8O32
253,mp-31098,Y1B2Ir3
254,mp-772323,Li8Cr16O52
255,mp-1197498,Tb4P8H36O44
256,mp-756361,Zr4Se4O4
257,mp-583084,Rb12Er12P16S64
258,mp-570394,Pr12Ni12Sb36
259,mp-754719,V4Si4O14
260,mvc-6184,Sn6As8O32
261,mp-1205562,Ho4Mg2Ni4
262,mp-1200067,Yb8B24Ru4
263,mp-755402,V3Cr1O8
264,mp-1177618,Li3Mn1Cr3O8
265,mp-1018022,Nb1In1S2
266,mp-581681,Ca42Mn8Sb36
267,mvc-12340,Mn4Zn1S8
268,mp-22006,V2Mo2O10
269,mp-542435,Li24Sc8N16
270,mp-19155,Cr4Hg4O16
271,mp-1225595,Er4Mn2S8
272,mp-651907,Nb24In4Cl60
273,mp-28089,P16Se12I8
274,mvc-12227,Mn6Nb4O18
275,mp-1207817,Tm4Sn2Au4
276,mp-1195810,Y4Ag4I16O48
277,mp-1193947,Bi2W4Cl16O4
278,mp-1568159,Li3V4Fe1O12
279,mp-1194744,Cs3Cu20Te13
280,mp-25991,Li4Ni6P8O28
281,mp-1643503,Li8Co10Sn2O24
282,mp-555119,Sr2Ta2F14
283,mp-1078074,U1Ga5Pt1
284,mp-1209240,S4O20
285,mvc-5754,Mg4Bi8O16
286,mp-1023,Ho4Co34
287,mp-1185232,La4Co4O12
288,mp-1214600,Ba2Nd1Co1Cu2O7
289,mp-758779,Li6Mn6F18
290,mp-29593,Re8P12Cl96
291,mp-1210317,Rb8Mo12P12O68
292,mp-4242,U3Cu4Ge4
293,mp-559766,Cs6Li2F8
294,mp-1204710,Mn4Al8Si8O40
295,mp-1207694,Tm4Sb4Ir4
296,mp-27337,Xe2O4F4
297,mp-1202339,La4C8Cl4O28
298,mp-1019559,Ca8B8O20
299,mp-1120736,Na10Ti6F28
300,mp-1197699,Pt8Cl32O28
301,mp-768163,Li14Sb4S4
302,mp-560888,Cu2Mo2O8
303,mp-557638,Na2Mo4P6O26
304,mvc-1150,Ba2Mn3O8
305,mp-1208133,Yb6N8O33
306,mp-554459,Pr24S16Br4N12
307,mp-555900,Nb2Tl5S4Cl9
308,mp-774406,Cr3Ni1P6O24
309,mp-5784,Na4Ge2O6
310,mp-1264957,Al2Co6Se4Cl2O16
311,mp-16261,Ca1Ge2Rh2
312,mp-760248,Li2Fe4B4O12
313,mp-1029915,Ca8Sn4N8
314,mp-27369,Rb2Ge2Cl6
315,mp-1192169,K2Cd2C6O12
316,mp-15380,F156Se16Sb36
317,mp-755202,Li4Fe5Ni1O12
318,mp-1022730,Y1Fe2Bi2Se2O4
319,mvc-8334,Ca4Co4Ge8O24
320,mp-1203147,Na18Gd6P12O48
321,mp-707792,H12Ru18C48S6O48
322,mp-1192600,Tb12Te12N4
323,mp-1178803,Zn4Cu2C4N2Cl12
324,mp-655025,Mo4H24C8N4O30
325,mp-1196257,Ca2B24H24
326,mp-772241,Li12Mn4Al8O24
327,mp-13775,Gd8Si8O28
328,mp-1182626,Fe12P8H34O54
329,mp-405,Ga8Pd20
330,mp-1232095,Sm8Mg4S16
331,mp-1221842,Mn3B4Mo3
332,mp-672681,Nb16Zn8C6
333,mp-560869,K12V4O16
334,mvc-6623,Mg6Cr12Cu6O42
335,mp-531911,La14Mn15O48
336,mp-557213,Te8Xe4O8F40
337,mp-1203033,Li12B32O60
338,mp-1104373,Ce3Ga10Ni1
339,mp-767972,Li2Fe3Ni1O8
340,mp-581533,Cs28In16Bi24
341,mp-1193896,Ba8H16Pd4
342,mp-1204799,Tc24Te60
343,mp-13427,Sr6Hg4
344,mp-766349,Ba4Ca4I16
345,mp-10444,Ca4Al4O10
346,mp-1029857,Rb12W8N20
347,mp-1281353,Ba4La2Mn4O14
348,mp-1106254,La2Lu6S12
349,mp-1003403,Mn16H2O32
350,mp-1228071,Ba4Mg4V8Cu4O32
351,mp-6259,Sr1Li2Ta2O7
352,mp-697767,Li4Mo4P8O28
353,mp-555418,Rb6Nb2H8C12O30
354,mp-1226301,Eu4Mn2Ge8O24
355,mp-1193494,Mn4Ag4P4O16
356,mp-1025321,Rb2Cr1Br2Cl2
357,mp-34361,Tl9Bi1Te6
358,mp-756050,Ta4Cu4O12
359,mp-770811,Si8As8O28
360,mp-26293,Li1Mo1P2O7
361,mp-1018093,Ca1Ga1Ge1H1
362,mp-23705,Na6Al2H12
363,mp-1105792,Tb10Ge6C2
364,mp-684193,Sm44Br96
365,mp-556085,Rb8Li4Ta4S16
366,mp-567518,Ba56Mn4Bi44
367,mp-1094286,Sr3Mg3
368,mp-1080119,K2Pt1O6
369,mp-697592,Be4P4H12O20
370,mp-5321,Ho7Co6Sn23
371,mvc-12822,Ca4V8Bi8O40
372,mp-554328,Na2S2O8
373,mp-1202541,Bi32Mo12O84
374,mp-605835,Nd16Mg4Ru4
375,mp-1247088,Co16Te12N8
376,mp-1074181,Mg8Si14
377,mp-1237425,Tb7Co6Sn23
378,mp-1245754,K1Ru1N1
379,mp-1209763,Rb8Eu4F20
380,mp-1202576,Tb16Ga4Sb4S36
381,mp-706594,U8H56S8O76
382,mp-1229017,Bi4C12O40
383,mp-558585,Hg12P4Cl4O16
384,mp-29437,Zn16As8O36
385,mp-569207,K4Os2N2Cl10
386,mp-1220333,Nd1Er3Fe34
387,mp-756103,Y4Hg2O8
388,mp-754257,Ti2Mn3Te3O16
389,mp-1211822,K8Co2Mo6O24
390,mp-559089,P4S8N12Cl16O8
391,mp-510482,Er2Ni8As4
392,mp-1205256,Na16Nd8N40O128
393,mp-1210152,Na2Nb14V4O28
394,mp-1247310,Pt2C16N12
395,mp-1201145,Er4Al34
396,mp-556886,Li8Al6Ge6Cl2O24
397,mp-768285,Be12Ge6O24
398,mp-770286,Li6Sn2B4O12
399,mp-1247304,Cd2Ge14N20
400,mp-1247426,Zn16Si40N64
401,mp-756335,Li6Co2B4O12
402,mp-1246902,Cu2Ge14N20
403,mp-1985,C6N8
404,mp-1227455,Be2Ga4O8
405,mp-766462,Li8Fe4P4O20
406,mp-768285,Be12Ge6O24
407,mp-768285,Be12Ge6O24
408,mp-557683,Zn12B8O24
409,mp-1204046,Si106
410,mp-1245494,Mn16Zn16N32
411,mp-1247536,Mg4Ir4N8
412,mp-1245504,Cr2Fe4N6
413,mp-1029257,Zn4Re2N6
414,mp-752900,Li8Fe4Si4O16
415,mp-1245539,V4Cu4N8
416,mp-15144,Zn2Ag4Ge2O8
417,mp-1189914,Zn2Si2Ag4S8
418,mp-752524,Li4Cr2Si2O8
419,mp-770702,Li8Al4Fe4O16
420,mp-1245999,Zn4Os4N8
421,mp-768289,Li4Fe2B2O8
422,mp-984728,B2C2
423,mp-759287,Li1Cu2P1O4
424,mp-1185783,Mg6N2
425,mp-153,Mg2
426,mp-1094589,Li3Mg3
427,mp-1187241,Ta2Ir6
428,mp-1215201,Zr1Sc1
429,mp-10172,Na2
430,mp-867345,Tc2Ir6
431,mp-1185584,Mg149Cl1
432,mp-1185589,Mg149Nb1
433,mp-979011,Tm1Zr1
434,mp-21462,Eu2
435,mp-973493,Li2Lu6
436,mp-1094521,Mg2Sn4
437,mp-1087479,Cr2Co6
438,mp-981935,Li5Mg1
439,mp-1186291,Nd6Y2
440,mp-1183178,Ag2As2
441,mp-1186753,Pr1Nd1
442,mp-976139,Li3Mg1
443,mp-1186286,Nd6Tm2
444,mp-1187129,Sr6H2
445,mp-1184885,Ho1Zr1
446,mp-1187458,Tc1Pt1
447,mp-1187458,Tc1Pt1
